Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
769,Coimbatore,RSPuram(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2800,2800,27-Nov-24
770,Coimbatore,RSPuram(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2800,2800,27-Oct-24
771,Coimbatore,RSPuram(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2800,2800,27-Sep-24
772,Coimbatore,RSPuram(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2800,2800,28-Aug-24
773,Coimbatore,RSPuram(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2800,2800,28-Dec-24
774,Coimbatore,RSPuram(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2800,2800,28-Jul-24
775,Coimbatore,RSPuram(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2800,2800,28-Nov-24
776,Coimbatore,RSPuram(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2800,2800,28-Oct-24
777,Coimbatore,RSPuram(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2800,2800,28-Sep-24
778,Coimbatore,RSPuram(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2800,2800,29-Aug-24
779,Coimbatore,RSPuram(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2800,2800,29-Dec-24
780,Coimbatore,RSPuram(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2800,2800,29-Nov-24
781,Coimbatore,RSPuram(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2800,2800,29-Oct-24
782,Coimbatore,RSPuram(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2800,2800,29-Sep-24
783,Coimbatore,RSPuram(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2800,2800,30-Aug-24
784,Coimbatore,RSPuram(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2800,2800,30-Dec-24
785,Coimbatore,RSPuram(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2800,2800,30-Jul-24
786,Coimbatore,RSPuram(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2800,2800,30-Oct-24
787,Coimbatore,RSPuram(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2800,2800,30-Sep-24
788,Coimbatore,RSPuram(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2800,2800,31-Aug-24
789,Coimbatore,RSPuram(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2800,2800,31-Dec-24
790,Coimbatore,RSPuram(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2800,2800,31-Jul-24
791,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,12-Dec-24
792,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,13-Dec-24
793,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,14-Dec-24
794,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,14-Nov-24
795,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,15-Dec-24
796,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,15-Nov-24
797,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,16-Dec-24
798,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,17-Dec-24
799,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,17-Sep-24
800,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,18-Dec-24
801,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,18-Nov-24
802,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,18-Sep-24
803,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,19-Dec-24
804,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,19-Sep-24
805,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,20-Dec-24
806,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,20-Sep-24
807,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,21-Dec-24
808,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,21-Sep-24
809,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,22-Dec-24
810,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,22-Sep-24
811,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,23-Dec-24
812,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,23-Sep-24
813,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,24-Dec-24
814,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,24-Sep-24
815,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,25-Dec-24
816,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500,27-Dec-24
817,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2500,2800,2800,25-Nov-24
818,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2500,3000,3000,02-Dec-24
819,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2500,3000,3000,21-Nov-24
820,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2500,3000,3000,24-Jul-24
821,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2500,3000,3000,25-Jul-24
822,Coimbatore,Singanallur(Uzhavar Sandhai ),Maize,Deshi Red,Local,2500,3000,3000,29-Nov-24
823,Coimbatore,Sulur,Maize,Other,FAQ,1800,2200,2000,06-Jun-24
824,Coimbatore,Sulur,Maize,Other,FAQ,2000,2200,2100,05-Jun-24
825,Coimbatore,Sulur,Maize,Other,FAQ,2090,2150,2120,07-Jun-24
826,Coimbatore,Sulur,Maize,Other,FAQ,2100,2120,2110,12-Jun-24
827,Coimbatore,Sulur,Maize,Other,FAQ,2180,2250,2215,14-Jun-24
828,Coimbatore,Sulur,Maize,Other,FAQ,2200,2400,2300,10-Jun-24
829,Coimbatore,Sulur,Maize,Other,FAQ,2200,2600,2400,11-Jun-24
830,Coimbatore,Thiruppur,Maize,Local,FAQ,1300,1500,1400,02-Nov-20
831,Coimbatore,Thiruppur,Maize,Local,FAQ,1300,1500,1400,04-Nov-20
832,Coimbatore,Thiruppur,Maize,Local,FAQ,1300,1500,1400,23-Dec-20
833,Coimbatore,Thiruppur,Maize,Local,FAQ,1300,1500,1400,31-Mar-21
834,Coimbatore,Thiruppur,Maize,Local,FAQ,1300,1700,1500,27-May-24
835,Coimbatore,Thiruppur,Maize,Local,FAQ,1300,1800,1500,16-Sep-20
836,Coimbatore,Thiruppur,Maize,Local,FAQ,1600,2100,1900,05-Aug-21
837,Coimbatore,Thiruppur,Maize,Local,FAQ,1600,2100,1900,22-Jul-21
838,Coimbatore,Thiruppur,Maize,Local,FAQ,1600,2100,1900,26-Jul-21
839,Coimbatore,Thiruppur,Maize,Local,FAQ,1600,2100,1900,27-Jul-21
840,Coimbatore,Thiruppur,Maize,Local,FAQ,1600,2100,1900,29-Jul-21
841,Coimbatore,Thiruppur,Maize,Local,FAQ,1600,2100,1900,30-Jul-21
842,Coimbatore,Thiruppur,Maize,Local,FAQ,1700,2000,1800,29-Dec-23
843,Coimbatore,Thiruppur,Maize,Local,FAQ,1700,2000,1900,14-Mar-24
844,Coimbatore,Thiruppur,Maize,Local,FAQ,1700,2000,1900,18-Apr-24
845,Coimbatore,Thiruppur,Maize,Local,FAQ,1700,2000,1900,20-Mar-24
846,Coimbatore,Thiruppur,Maize,Local,FAQ,1700,2000,1900,25-Mar-24
847,Coimbatore,Thiruppur,Maize,Local,FAQ,1700,2100,1900,10-Aug-23
848,Coimbatore,Thiruppur,Maize,Local,FAQ,1700,2100,2000,06-Oct-21
849,Coimbatore,Thiruppur,Maize,Local,FAQ,1700,2100,2000,23-May-24
850,Coimbatore,Thiruppur,Maize,Local,FAQ,1700,2100,2000,23-Sep-21
851,Coimbatore,Thiruppur,Maize,Local,FAQ,1700,2100,2000,24-May-24
852,Coimbatore,Thiruppur,Maize,Local,FAQ,1700,2200,1800,14-Dec-23
853,Coimbatore,Thiruppur,Maize,Local,FAQ,1700,2200,1800,23-Nov-23
854,Coimbatore,Thiruppur,Maize,Local,FAQ,1700,2200,2000,01-Jun-22
855,Coimbatore,Thiruppur,Maize,Local,FAQ,1700,2200,2000,02-Mar-23
856,Coimbatore,Thiruppur,Maize,Local,FAQ,1700,2200,2000,06-Aug-21
857,Coimbatore,Thiruppur,Maize,Local,FAQ,1700,2200,2000,08-Jun-22
858,Coimbatore,Thiruppur,Maize,Local,FAQ,1700,2200,2000,10-Mar-22
859,Coimbatore,Thiruppur,Maize,Local,FAQ,1700,2200,2000,12-Aug-21
860,Coimbatore,Thiruppur,Maize,Local,FAQ,1700,2200,2000,16-Aug-21
861,Coimbatore,Thiruppur,Maize,Local,FAQ,1700,2200,2000,23-Dec-21
862,Coimbatore,Thiruppur,Maize,Local,FAQ,1700,2200,2000,23-Feb-22
863,Coimbatore,Thiruppur,Maize,Local,FAQ,1700,2200,2000,25-Aug-21
864,Coimbatore,Thiruppur,Maize,Local,FAQ,1700,2200,2000,26-Feb-24
865,Coimbatore,Thiruppur,Maize,Local,FAQ,1750,2150,1950,09-Aug-21
866,Coimbatore,Thiruppur,Maize,Local,FAQ,1750,2150,1950,11-Aug-21
867,Coimbatore,Thiruppur,Maize,Local,FAQ,1750,2150,1950,13-Aug-21
868,Coimbatore,Thiruppur,Maize,Local,FAQ,1800,2100,2000,08-Sep-23
869,Coimbatore,Thiruppur,Maize,Local,FAQ,1800,2100,2000,20-Sep-23
870,Coimbatore,Thiruppur,Maize,Local,FAQ,1800,2200,2000,06-Nov-23
871,Coimbatore,Thiruppur,Maize,Local,FAQ,1800,2200,2000,13-Jun-24
872,Coimbatore,Thiruppur,Maize,Local,FAQ,1800,2200,2100,03-Nov-23
873,Coimbatore,Thiruppur,Maize,Local,FAQ,1800,2400,2000,08-Mar-24
874,Coimbatore,Thiruppur,Maize,Local,FAQ,1800,2400,2000,22-Feb-24
875,Coimbatore,Thiruppur,Maize,Local,FAQ,1800,2500,2100,24-Jul-23
876,Coimbatore,Thiruppur,Maize,Local,FAQ,1800,2500,2100,27-Sep-23
877,Coimbatore,Thiruppur,Maize,Local,FAQ,1850,2500,2150,22-Jun-23
878,Coimbatore,Thiruppur,Maize,Local,FAQ,1900,2200,2100,14-May-24
879,Coimbatore,Thiruppur,Maize,Local,FAQ,1900,2300,2100,14-Sep-23
880,Coimbatore,Thiruppur,Maize,Local,FAQ,1900,2400,2100,02-Aug-23
881,Coimbatore,Thiruppur,Maize,Yellow,FAQ,600,2000,1800,23-Jan-23
882,Coimbatore,Thiruppur,Maize,Yellow,FAQ,1700,2000,1800,19-Jan-24
883,Coimbatore,Thiruppur,Maize,Yellow,FAQ,1700,2200,2000,12-Dec-22
884,Coimbatore,Thiruppur,Maize,Yellow,FAQ,1700,2200,2000,15-Dec-22
885,Coimbatore,Thiruppur,Maize,Yellow,FAQ,1700,2200,2000,27-Feb-23
886,Coimbatore,Thiruppur,Maize,Yellow,FAQ,1750,2010,1830,10-Jan-24
887,Coimbatore,Thiruppur,Maize,Yellow,FAQ,1800,2200,2000,10-Mar-23
888,Coimbatore,Thiruppur,Maize,Yellow,FAQ,1800,2400,2000,12-Feb-24
889,Coimbatore,Thiruppur,Maize,Yellow,FAQ,2000,2500,2200,01-Dec-22
890,Coimbatore,Thiruppur,Maize,Yellow,FAQ,2000,2800,2200,20-Oct-22
891,Coimbatore,Thondamuthur,Maize,Other,FAQ,1200,1700,1400,30-Apr-20
892,Coimbatore,Thondamuthur,Maize,Other,FAQ,1200,1700,1500,20-Apr-20
893,Coimbatore,Thondamuthur,Maize,Other,FAQ,1200,1700,1600,22-Apr-20
894,Coimbatore,Thondamuthur,Maize,Other,FAQ,1200,1750,1500,17-Apr-20
895,Coimbatore,Thondamuthur,Maize,Other,FAQ,1300,1700,1500,16-Apr-20
896,Coimbatore,Thondamuthur,Maize,Other,FAQ,1300,1700,1600,23-Apr-20
897,Coimbatore,Thondamuthur,Maize,Other,FAQ,1300,1700,1600,27-Apr-20
898,Coimbatore,Thondamuthur,Maize,Other,FAQ,1300,1750,1600,18-Apr-20
899,Coimbatore,Thondamuthur,Maize,Other,FAQ,1400,1600,1500,28-Apr-20
900,Coimbatore,Thondamuthur,Maize,Other,FAQ,1400,1700,1500,29-Apr-20
901,Coimbatore,Thondamuthur,Maize,Other,FAQ,1400,1700,1600,15-Apr-20
902,Coimbatore,Thondamuthur,Maize,Other,FAQ,1400,1800,1600,01-Apr-20
903,Coimbatore,Thondamuthur,Maize,Other,FAQ,1400,1800,1600,02-Apr-20
904,Coimbatore,Thondamuthur,Maize,Other,FAQ,1400,1800,1600,03-Apr-20
905,Coimbatore,Thondamuthur,Maize,Other,FAQ,1400,1800,1600,04-Apr-20
906,Coimbatore,Thondamuthur,Maize,Other,FAQ,1400,1800,1600,05-Apr-20
907,Coimbatore,Thondamuthur,Maize,Other,FAQ,1400,1800,1600,07-Apr-20
908,Coimbatore,Thondamuthur,Maize,Other,FAQ,1400,1800,1600,31-Mar-20
909,Coimbatore,Thondamuthur,Maize,Other,FAQ,1500,1900,1700,11-Apr-20
910,Coimbatore,Thondamuthur,Maize,Other,FAQ,1500,1900,1700,13-Apr-20
911,Coimbatore,Thondamuthur,Maize,Other,FAQ,1600,1750,1700,21-May-21
912,Coimbatore,Thondamuthur,Maize,Other,FAQ,1600,1750,1700,22-May-21
913,Coimbatore,Thondamuthur,Maize,Other,FAQ,1800,2000,1900,06-Feb-24
914,Coimbatore,Thondamuthur,Maize,Other,FAQ,1800,2000,1900,08-Feb-24
915,Coimbatore,Thondamuthur,Maize,Other,FAQ,1900,2090,2000,29-Jan-24
916,Coimbatore,Thondamuthur,Maize,Other,FAQ,1900,2400,2200,22-Apr-22
917,Coimbatore,Thondamuthur,Maize,Other,FAQ,2000,2300,2100,06-Jul-22
918,Coimbatore,Thondamuthur,Maize,Other,FAQ,2000,2300,2100,22-Sep-23
919,Coimbatore,Thondamuthur,Maize,Other,FAQ,2000,2400,2200,10-Apr-23
920,Coimbatore,Thondamuthur,Maize,Other,FAQ,2000,2400,2200,26-Apr-22
921,Coimbatore,Thondamuthur,Maize,Other,FAQ,2200,2400,2300,13-May-24
922,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2200,2500,2500,18-Dec-24
923,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,2800,2800,08-Dec-24
924,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,01-Nov-24
925,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,01-Sep-24
926,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,02-Aug-24
927,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,02-Dec-24
928,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,02-Nov-24
929,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,02-Sep-24
930,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,03-Aug-24
931,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,03-Dec-24
932,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,03-Nov-24
933,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,03-Sep-24
934,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,04-Aug-24
935,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,04-Dec-24
936,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,04-Nov-24
937,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,04-Sep-24
938,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,05-Aug-24
939,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,05-Dec-24
940,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,05-Nov-24
941,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,05-Sep-24
942,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,06-Aug-24
943,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,06-Dec-24
944,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,06-Nov-24
945,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,06-Sep-24
946,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,07-Aug-24
947,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,07-Dec-24
948,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,07-Nov-24
949,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,07-Sep-24
950,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,08-Aug-24
951,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,08-Nov-24
952,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,08-Sep-24
953,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,09-Aug-24
954,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,09-Dec-24
955,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,09-Nov-24
956,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,09-Sep-24
957,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,10-Aug-24
958,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,10-Dec-24
959,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,10-Nov-24
960,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,10-Sep-24
961,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,11-Aug-24
962,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,11-Dec-24
963,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,11-Nov-24
964,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,11-Oct-24
965,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,11-Sep-24
966,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,12-Aug-24
967,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,12-Nov-24
968,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,12-Oct-24
969,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,12-Sep-24
970,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,13-Aug-24
971,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,13-Nov-24
972,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,13-Oct-24
973,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,13-Sep-24
974,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,14-Aug-24
975,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,14-Dec-24
976,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,14-Nov-24
977,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,14-Oct-24
978,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,14-Sep-24
979,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,15-Aug-24
980,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,15-Dec-24
981,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,15-Nov-24
982,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,15-Oct-24
983,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,15-Sep-24
984,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,16-Aug-24
985,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,16-Dec-24
986,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,16-Nov-24
987,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,16-Oct-24
988,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,16-Sep-24
989,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,17-Aug-24
990,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,17-Dec-24
991,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,17-Nov-24
992,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,17-Oct-24
993,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,17-Sep-24
994,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,18-Aug-24
995,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,18-Nov-24
996,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,18-Oct-24
997,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,18-Sep-24
998,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,19-Aug-24
999,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,19-Dec-24
1000,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,19-Nov-24
1001,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,19-Oct-24
1002,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,19-Sep-24
1003,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,20-Aug-24
1004,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,20-Dec-24
1005,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,20-Nov-24
1006,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,20-Oct-24
1007,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,20-Sep-24
1008,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,21-Aug-24
1009,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,21-Dec-24
1010,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,21-Nov-24
1011,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,21-Oct-24
1012,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,21-Sep-24
1013,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,22-Aug-24
1014,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,22-Dec-24
1015,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,22-Nov-24
1016,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,22-Oct-24
1017,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,22-Sep-24
1018,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,23-Aug-24
1019,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,23-Dec-24
1020,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,23-Nov-24
1021,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,23-Oct-24
1022,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,23-Sep-24
1023,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,24-Aug-24
1024,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,24-Dec-24
1025,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,24-Nov-24
1026,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,24-Oct-24
1027,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,24-Sep-24
1028,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,25-Aug-24
1029,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,25-Nov-24
1030,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,25-Oct-24
1031,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,25-Sep-24
1032,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,26-Aug-24
1033,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,26-Dec-24
1034,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,26-Nov-24
1035,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,26-Oct-24
1036,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,27-Aug-24
1037,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,27-Nov-24
1038,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,27-Oct-24
1039,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,28-Aug-24
1040,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,28-Nov-24
1041,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,28-Oct-24
1042,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,29-Aug-24
1043,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,29-Dec-24
1044,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,29-Nov-24
1045,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,29-Oct-24
1046,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,30-Aug-24
1047,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,30-Dec-24
1048,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,30-Oct-24
1049,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,31-Aug-24
1050,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,31-Dec-24
1051,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,3000,3000,31-Oct-24
1052,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,4000,4000,26-Sep-24
1053,Coimbatore,Udumalpet,Maize,Deshi Red,Local,2500,4000,4000,27-Dec-24
